,seccion,titulo,url,cmp,idx,dominio,crawl_day
385,blog,"Colegio Mayor: segregación, acoso y omertá",https://www.eldiario.es/blog/al-dia/podcast-colegio-mayor-segregacion-acoso-omerta_132_9603153.html,Poti,5,www.eldiario.es,2022-10-07
386,politica,García Castellón niega a Monedero información clave sobre la investigación que llevó en secreto contra él,https://www.eldiario.es/politica/garcia-castellon-niega-monedero-informacion-clave-investigacion-llevo-secreto_1_9604095.html,Poti,7,www.eldiario.es,2022-10-07
387,economia,Despidos y un crédito blando del Estado: la “cuesta abajo” del joven emprendedor premiado por el Gobierno de Ayuso,https://www.eldiario.es/economia/despidos-credito-blando-cuesta-abajo-joven-emprendedor-premiado-gobierno-ayuso_1_9602474.html,Poti,10,www.eldiario.es,2022-10-07
388,comunitat-valenciana,La Policía Nacional otorgó en 2019 un reconocimiento a la empresa del líder ultra José Luis Roberto,https://www.eldiario.es/comunitat-valenciana/interior-otorgo-reconocimiento-empresa-lider-ultra-premiado-policia-nacional_1_9602294.html,Poti,13,www.eldiario.es,2022-10-07
389,politica,El descontrol de Vox en los territorios y la crisis abierta por Olona provocan la caída de Ortega Smith,https://www.eldiario.es/politica/descontrol-vox-territorios-crisis-abierta-olona-provocan-caida-ortega-smith_1_9602168.html,Poti,15,www.eldiario.es,2022-10-07
390,catalunya,La Audiencia Nacional pide el bloqueo de cuentas en Chipre vinculadas a la estafa del cannabis Juicy Fields,https://www.eldiario.es/catalunya/audiencia-nacional-pide-bloqueo-cuentas-chipre-vinculadas-estafa-cannabis-juicy-fields_1_9600470.html,Poti,17,www.eldiario.es,2022-10-07
391,sociedad,El Supremo reconoce la pensión de orfandad a una joven porque su padre vive pero nunca se ha ocupado de ella,https://www.eldiario.es/sociedad/supremo-reconoce-pension-orfandad-joven-padre-vive-ocupado_1_9604603.html,Poti,20,www.eldiario.es,2022-10-07
392,economia,Los bancos tendrán que dar servicios con cajeros de marca blanca si no hay otra opción en el mundo rural,https://www.eldiario.es/economia/bancos-tendran-dar-servicios-cajeros-marca-blanca-si-no-hay-opcion-mundo-rural_1_9605028.html,Poti,22,www.eldiario.es,2022-10-07
393,politica,La pesadilla de perder a un familiar y que el PP diga lo que tienes que sentir,https://www.eldiario.es/politica/residencias-covid-madrid-ayuso_129_9602107.html,Poti,25,www.eldiario.es,2022-10-07
394,politica,La doble comparecencia de Sánchez descoloca la estrategia de Feijóo,https://www.eldiario.es/politica/doble-comparecencia-sanchez-descoloca-estrategia-feijoo_1_9598684.html,Poti,28,www.eldiario.es,2022-10-07
395,cultura,"'En los márgenes', un drama sobre desahucios tan honesto como doloroso",https://www.eldiario.es/cultura/cine/margenes-drama-desahucios-honesto-doloroso_129_9601256.html,Poti,30,www.eldiario.es,2022-10-07
396,cultura,"El poeta gallego Ismael Ramos, Premio Nacional de Poesía Joven 2022",https://www.eldiario.es/cultura/poeta-gallego-ismael-ramos-premio-nacional-poesia-joven-2022_1_9605018.html,Poti,32,www.eldiario.es,2022-10-07
397,cultura,Velma es abiertamente lesbiana en la nueva película de Scooby-Doo,https://www.eldiario.es/cultura/velma-abiertamente-lesbiana-nueva-pelicula-scooby-doo_1_9604974.html,Cinturon1,2,www.eldiario.es,2022-10-07
398,tumejoryo,"Glutatión: qué es, por qué lo necesitas, y cómo tener más",https://www.eldiario.es/tumejoryo/glutation-necesitas_1_9584134.html,Cinturon1,4,www.eldiario.es,2022-10-07
399,consumoclaro,Ocho recetas con setas para empezar la temporada por todo lo alto,https://www.eldiario.es/consumoclaro/comer/ocho-recetas-setas-empezar-temporada-alto_1_9595105.html,Cinturon1,6,www.eldiario.es,2022-10-07
400,politica,"La jueza sienta en el banquillo a López Madrid y Villarejo por amenazas, acoso y lesiones a la doctora Pinto",https://www.eldiario.es/politica/jueza-sienta-banquillo-lopez-madrid-villarejo-amenazas-acoso-lesiones-doctora-pinto_1_9603409.html,Potito,0,www.eldiario.es,2022-10-07
401,cultura,"Annie Ernaux, la escritora que convirtió su vida y su cuerpo en un arma política",https://www.eldiario.es/cultura/libros/annie-ernaux-escritora-convirtio-vida-cuerpo-arma-politica_1_9602703.html,Potito,2,www.eldiario.es,2022-10-07
402,galicia,El último guerrillero antifranquista: “Ni el emérito ni su sucesor pedirán judicializar el franquismo. Son producto de la dictadura”,https://www.eldiario.es/galicia/ultimo-guerrillero-antifranquista-emerito-sucesor-pediran-judicializar-franquismo-son-producto-dictadura_1_9590942.html,Potito,4,www.eldiario.es,2022-10-07
403,economia,El puzle de la recaudación: el Gobierno aspira a ingresar más de lo presupuestado y no incluye el impuesto a los ricos,https://www.eldiario.es/economia/puzle-recaudacion-gobierno-aspira-ingresar-presupuestado-no-incluye-impuesto-ricos_1_9602261.html,Economía,4,www.eldiario.es,2022-10-07
