,seccion,titulo,url,cmp,idx,dominio,crawl_day
1243,economia,La Autoridad fiscal propone que la UE defina un objetivo de deuda para cada país,https://www.eldiario.es/economia/autoridad-fiscal-propone-ue-defina-objetivo-deuda-pais_1_9642753.html,Economía,8,www.eldiario.es,2022-10-22
1244,,Maratón de cine y periodismo: disfruta de seis películas presentadas por periodistas de elDiario.es,https://www.eldiario.es/eventos-eldiario-es/maraton-de-cine-y-periodismo/,Economía,10,www.eldiario.es,2022-10-22
1245,madrid,Vecinos de Tetuán cuentan los edificios neomudéjar popular perdidos en los últimos quince años,https://www.eldiario.es/madrid/somos/tetuan/vecinos-tetuan-cuentan-edificios-neomudejar-popular-perdidos-ultimos-quince-anos_1_9642494.html,edicion-local,0,www.eldiario.es,2022-10-22
1246,catalunya,Barcelona realiza la primera compra de vivienda protegida derivada de la normativa urbanística del 30%,https://www.eldiario.es/catalunya/barcelona-realiza-primera-compra-vivienda-protegida-derivada-normativa-urbanistica-30_1_9646082.html,edicion-local,2,www.eldiario.es,2022-10-22
1247,andalucia,Moreno enfría de golpe su discurso triunfalista y admite que Andalucía entrará en recesión por la sequía,https://www.eldiario.es/andalucia/moreno-enfria-golpe-discurso-triunfalista-admite-andalucia-entrara-recesion-sequia_1_9639995.html,edicion-local,5,www.eldiario.es,2022-10-22
1248,comunitat-valenciana,La sanidad valenciana pagará la sedación de las mujeres que aborten cuando sean derivadas a las clínicas privadas,https://www.eldiario.es/comunitat-valenciana/sanidad-valenciana-pagara-sedacion-mujeres-aborten-sean-derivadas-clinicas-privadas_1_9629020.html,edicion-local,9,www.eldiario.es,2022-10-22
1249,canariasahora,El anticipado colapso en las urgencias del Negrín pone en alerta a los sanitarios: “Hemos tenido dos semanas muy duras”,https://www.eldiario.es/canariasahora/sociedad/anticipado-colapso-urgencias-negrin-pone-alerta-sanitarios-hemos-tenido-semanas-duras_1_9644977.html,edicion-local,11,www.eldiario.es,2022-10-22
1250,cultura,El retraso de los fondos europeos para las artes escénicas pone “la soga al cuello” al sector,https://www.eldiario.es/cultura/nuevo-retraso-gestion-fondos-europeos-artes-ascenicas-pone-soga-cuello-sector_1_9643184.html,home-sin-identificar,13,www.eldiario.es,2022-10-22
1251,galicia,"Anne Waldman: “Leo en silencio. Odio el ruido de la tecnología y la polución, odio el ruido de los dictadores”",https://www.eldiario.es/galicia/anne-waldman-leo-silencio-odio-ruido-tecnologia-polucion-odio-ruido-dictadores_1_9644871.html,home-sin-identificar,15,www.eldiario.es,2022-10-22
1252,catalunya,"Las vidas rotas de Pablo Hasél, Valtonyc y Elgio",https://www.eldiario.es/catalunya/vidas-rotas-pablo-hasel-valtonyc-elgio_1_9640053.html,home-sin-identificar,19,www.eldiario.es,2022-10-22
1253,consumoclaro,Seis sencillos motivos para comerse una manzana al día,https://www.eldiario.es/consumoclaro/cuidarse/seis-sencillos-motivos-comerse-manzana-dia_1_9632372.html,Consumo claro,0,www.eldiario.es,2022-10-22
1254,castilla-y-leon,Sánchez sugiere al PP que mire a Reino Unido para ver las consecuencias de las políticas de bajada de impuestos,https://www.eldiario.es/castilla-y-leon/politica/sanchez-sugiere-pp-mire-reino-unido-ver-consecuencias-politicas-bajada-impuestos_1_9646040.html,Poti,15,www.eldiario.es,2022-10-22
1255,euskadi,La mujer que secuestró al bebé del hospital de Basurto pide perdón y solicita su ingreso en un psiquiátrico,https://www.eldiario.es/euskadi/mujer-secuestro-bebe-hospital-basurto-pide-perdon-solicita-ingreso-psiquiatrico_1_9646558.html,Potito,2,www.eldiario.es,2022-10-22
1256,aragon,El choque entre Lambán y la portavoz del PP se recrudece en vísperas del debate de la Comunidad,https://www.eldiario.es/aragon/politica/choque-lamban-portavoz-pp-recrudece-visperas-debate-comunidad_1_9644453.html,Politica,1,www.eldiario.es,2022-10-22
1257,galicia,Muere un trabajador en un accidente laboral en una obra en la refinería de Repsol en A Coruña,https://www.eldiario.es/galicia/muere-trabajador-obra-refineria-repsol-coruna_1_9646364.html,Economía,3,www.eldiario.es,2022-10-22
1258,comunitat-valenciana,Las cinco ayudas del Ayuntamiento al Valencia CF para financiar su nuevo estadio: 200 millones en beneficios urbanísticos,https://www.eldiario.es/comunitat-valenciana/cinco-ayudas-ayuntamiento-valencia-cf-financiar-nuevo-estadio-200-millones-beneficios-urbanisticos_1_9642782.html,Economía,6,www.eldiario.es,2022-10-22
1259,andalucia,“No somos sardinas en lata”: la comunidad educativa exige acelerar su propuesta para reducir la cifra de alumnos por aula,https://www.eldiario.es/andalucia/no-sardinas-lata-comunidad-educativa-exige-acelerar-propuesta-reducir-cifra-alumnos-aula_1_9646220.html,edicion-local,5,www.eldiario.es,2022-10-22
1260,galicia,El PP gallego centra en las ciudades el inicio de la carrera para las municipales tras el descalabro de 2019,https://www.eldiario.es/galicia/pp-gallego-centra-ciudades-inicio-carrera-municipales-descalabro_1_9645990.html,edicion-local,7,www.eldiario.es,2022-10-22
1261,canariasahora,Canarias sale a la calle para “defender” a las Islas del “servilismo político” y de los macroproyectos que atentan contra el territorio,https://www.eldiario.es/canariasahora/ciencia_y_medio_ambiente/canarias-sale-calle-defender-islas-macroproyectos-atentan-territorio-servilismo-politico_1_9646370.html,edicion-local,11,www.eldiario.es,2022-10-22
1262,andalucia,"Jill Thompson, ilustradora e historietista: “Todo lo que quería ser de pequeña desapareció para ser artista”",https://www.eldiario.es/andalucia/lacajanegra/jill-thompson-queria-pequena-desaparecio-artista_1_9645348.html,home-sin-identificar,15,www.eldiario.es,2022-10-22
1263,castilla-y-leon,"Facyl, el festival contemporáneo de Salamanca desaparecido bajo la gestión de Vox",https://www.eldiario.es/castilla-y-leon/cultura/facyl-festival-contemporaneo-salamanca-desaparecido-gestion-vox_1_9631129.html,home-sin-identificar,19,www.eldiario.es,2022-10-22
1264,internacional,Rusia evacúa la ciudad de Jersón mientras deja sin luz a miles de ucranianos,https://www.eldiario.es/internacional/rusia-evacua-ciudad-jerson-deja-luz-miles-ucranianos_1_9646722.html,Poti,3,www.eldiario.es,2022-10-22
1265,sociedad,La “resistencia trans” pide a gritos la aprobación inmediata de la ley trans,https://www.eldiario.es/sociedad/resistencia-trans-pide-gritos-aprobacion-inmediata-ley-trans_1_9646816.html,Poti,6,www.eldiario.es,2022-10-22
1266,cultura,El deslumbrante teatro de Janaina Leite,https://www.eldiario.es/cultura/teatro/deslumbrante-teatro-janaina-leite_129_9646766.html,Cinturon1,2,www.eldiario.es,2022-10-22
